0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:15 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:20 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:20 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:20 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:20 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:28 +0530] "GET /MyFirstWebProject/admin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:32 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:32 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:32 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:32 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:34 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:37 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:18:41 +0530] "GET /MyFirstWebProject/userRegister.html HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:19:10 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:19:44 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:19:47 +0530] "GET /MyFirstWebProject/userRegister.html HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:26:27 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:26:27 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:26:29 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:26:31 +0530] "GET /MyFirstWebProject/userRegister.html HTTP/1.1" 200 1189
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:11 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:11 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:13 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:13 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:27:17 +0530] "GET /MyFirstWebProject/userRegister.html HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:02 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:02 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:03 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:03 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:09 +0530] "GET /MyFirstWebProject/user.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:28:12 +0530] "GET /MyFirstWebProject/userRegister.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:33:07 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:33:07 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:33:08 +0530] "GET /MyFirstWebProject/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:33:08 +0530] "GET /MyFirstWebProject/image/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:33:48 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:33:48 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:33:53 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:33:53 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:14 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:45 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:45 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:45 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:45 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:45 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:45 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:45 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:45 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:46 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:46 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:46 +0530] "GET /MyFirstWebProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:10:34:46 +0530] "GET /MyFirstWebProject/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
